City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,24.19,95,18,1.79,EC,1691131656
1,kani keli,-12.9536,45.1033,28.59,78,31,8.5,YT,1691131657
2,port-aux-francais,-49.35,70.2167,2.58,88,70,14.48,TF,1691131657
3,vorgashor,67.5833,63.95,27.6,44,0,2.26,RU,1691131657
4,jamestown,42.097,-79.2353,21.77,94,0,1.54,US,1691131618
5,farasan,16.7022,42.1183,30.84,75,20,7.09,SA,1691131658
6,iqaluit,63.7506,-68.5145,7.85,87,75,1.03,CA,1691131658
7,tete,-16.1564,33.5867,18.05,68,40,0.0,MZ,1691131358
8,colonia,40.5746,-74.3021,22.23,76,100,4.63,US,1691131633
9,sanica,44.6142,16.6411,27.17,58,0,0.35,BA,1691131659
10,yellowknife,62.456,-114.3525,18.29,72,75,1.03,CA,1691131467
11,midvagur,62.0511,-7.1939,9.46,93,100,4.63,FO,1691131659
12,queenstown,-31.8976,26.8753,11.66,41,100,2.51,ZA,1691131659
13,shimoda,34.6667,138.95,33.39,73,0,6.45,JP,1691131659
14,kingston,17.997,-76.7936,28.53,90,20,3.09,JM,1691131660
15,bethel,41.3712,-73.414,22.2,78,75,3.6,US,1691131660
16,albany,42.6526,-73.7562,21.21,81,100,4.12,US,1691131473
17,edinburgh of the seven seas,-37.0676,-12.3116,11.97,72,3,16.27,SH,1691131660
18,salinopolis,-0.6136,-47.3561,25.69,86,9,3.21,BR,1691131661
19,adamstown,-25.066,-130.1015,19.23,78,100,4.55,PN,1691131505
20,kerikeri,-35.2268,173.9474,11.62,84,0,3.08,NZ,1691131661
21,puerto natales,-51.7236,-72.4875,1.98,82,47,9.2,CL,1691131662
22,bukama,-9.2,25.85,25.59,34,39,2.25,CD,1691131662
23,smithers,54.7804,-127.1743,16.18,77,100,2.57,CA,1691131662
24,whitehorse,60.7161,-135.0538,20.43,54,40,2.57,CA,1691131663
25,peterhead,57.5058,-1.7981,11.36,78,100,10.25,GB,1691131663
26,mburucuya,-28.0454,-58.2245,20.72,68,6,3.79,AR,1691131663
27,blackmans bay,-43.0167,147.3167,16.5,67,37,7.33,AU,1691131664
28,port alfred,-33.5906,26.891,21.77,37,48,3.13,ZA,1691131664
29,gisborne,-38.6533,178.0042,9.46,82,1,3.22,NZ,1691131650
30,uturoa,-16.7333,-151.4333,26.11,74,99,5.94,PF,1691131665
31,waitangi,-43.9535,-176.5597,9.9,91,88,1.79,NZ,1691131665
32,kingsville,27.5159,-97.8561,29.05,82,0,3.09,US,1691131665
33,stanley,54.868,-1.6985,12.77,92,75,1.54,GB,1691131665
34,polaniec,50.4332,21.2812,17.66,75,100,3.83,PL,1691131666
35,margaret river,-33.95,115.0667,13.34,65,75,3.45,AU,1691131666
36,howrah,-42.8873,147.4055,17.47,66,40,9.77,AU,1691131666
37,calvinia,-31.4707,19.776,13.72,51,56,2.56,ZA,1691131667
38,invercargill,-46.4,168.35,7.23,96,77,0.45,NZ,1691131572
39,bella vista,36.4295,-94.2316,29.9,63,0,3.09,US,1691131633
40,ardakan,32.31,54.0175,37.43,7,0,4.68,IR,1691131667
41,chipinge,-20.1883,32.6236,15.29,56,21,1.11,ZW,1691131668
42,zhanaozen,43.3,52.8,35.21,19,53,5.37,KZ,1691131564
43,hermanus,-34.4187,19.2345,14.33,68,100,3.03,ZA,1691131668
44,tiksi,71.6872,128.8694,4.14,94,100,2.04,RU,1691131668
45,cidreira,-30.1811,-50.2056,16.5,87,49,4.55,BR,1691131669
46,kodiak,57.79,-152.4072,12.73,88,75,0.0,US,1691131669
47,grytviken,-54.2811,-36.5092,-6.14,70,16,3.01,GS,1691131669
48,ushuaia,-54.8,-68.3,-1.19,100,100,9.77,AR,1691131669
49,moussoro,13.6408,16.4901,27.97,66,100,4.33,TD,1691131670
50,badger,64.8,-147.5333,23.95,59,75,0.0,US,1691131547
51,ust-nera,64.5667,143.2,20.91,27,37,2.86,RU,1691131670
52,virar,19.4667,72.8,30.05,82,100,7.63,IN,1691131616
53,lihue,21.9789,-159.3672,26.77,76,20,8.75,US,1691131670
54,thompson,55.7435,-97.8558,16.09,88,40,1.03,CA,1691131671
55,mar del plata,-38.0023,-57.5575,7.83,63,0,0.89,AR,1691131671
56,soio,-6.1349,12.3689,21.74,79,79,4.53,AO,1691131671
57,longyearbyen,78.2186,15.6401,12.91,82,75,1.54,SJ,1691131672
58,paradip garh,20.3167,86.6167,32.93,57,100,7.91,IN,1691131673
59,anadyr,64.75,177.4833,11.28,87,75,8.94,RU,1691131673
60,sur,22.5667,59.5289,36.68,44,24,1.2,OM,1691131673
61,salavan,15.7167,106.4167,26.84,86,100,2.69,LA,1691131673
62,laascaanood,8.4774,47.3597,27.72,42,29,16.06,SO,1691131674
63,neryungri,56.6709,124.6491,21.84,39,6,1.74,RU,1691131674
